month,applications,decisions,speed_ratio,queue_reduction,cumulative_queue_reduction
2023-08-01,1849,1295,0.7003785830178475,-554,-17070
2023-09-01,1411,1178,0.8348688873139617,-233,-17303
2023-10-01,1437,1179,0.8204592901878914,-258,-17561
2023-11-01,1638,1169,0.7136752136752137,-469,-18030
2023-12-01,1805,972,0.5385041551246538,-833,-18863
2024-01-01,1368,1166,0.8523391812865497,-202,-19065
2024-02-01,1238,1152,0.9305331179321487,-86,-19151
2024-03-01,1269,1181,0.9306540583136328,-88,-19239
2024-04-01,1225,1083,0.8840816326530613,-142,-19381
2024-05-01,1063,959,0.9021636876763875,-104,-19485
2024-06-01,1366,992,0.726207906295754,-374,-19859
2024-07-01,2069,706,0.3412276462058966,-1363,-21222
2024-08-01,1789,1086,0.607043040804919,-703,-21925
2024-09-01,2124,1205,0.5673258003766478,-919,-22844
2024-10-01,1493,1630,1.0917615539182852,137,-22707
2024-11-01,1188,2059,1.7331649831649831,871,-21836
2024-12-01,871,893,1.0252583237657864,22,-21814
2025-01-01,877,1193,1.3603192702394526,316,-21498
2025-02-01,617,1120,1.8152350081037276,503,-20995
2025-03-01,667,1148,1.7211394302848575,481,-20514
2025-04-01,687,1486,2.163027656477438,799,-19715
2025-05-01,545,1737,3.1871559633027524,1192,-18523
2025-06-01,808,1300,1.608910891089109,492,-18031
2025-07-01,957,1128,1.1786833855799372,171,-17860
2025-08-01,658,1235,1.8768996960486322,577,-17283
2025-09-01,961,1606,1.6711758584807492,645,-16638
2025-10-01,1213,1415,1.1665292662819455,202,-16436
2025-11-01,1473,1358,0.921928038017651,-115,-16551
2025-12-01,1774,1083,0.6104847801578354,-691,-17242
2026-01-01,1291,1064,0.8241673121611154,-227,-17469
2026-02-01,957,1152,1.2037617554858935,195,-17274
2026-03-01,976,1380,1.4139344262295082,404,-16870
2026-04-01,611,1292,2.114566284779051,681,-16189
2026-05-01,498,1331,2.6726907630522088,833,-15356
2026-06-01,649,1369,2.1093990755007703,720,-14636
2026-07-01,632,753,1.1914556962025316,121,-14515
2026-08-01,522,1179,2.2586206896551726,657,-13858
